number,u_week
LEAD00609760,1
LEAD00609759,1
LEAD00609758,1
LEAD00609757,1
LEAD00609756,1
LEAD00609755,1
LEAD00609754,1
LEAD00609753,1
LEAD00609752,1
LEAD00609751,1
LEAD00609750,1
LEAD00609749,1
LEAD00609748,1
LEAD00609747,1
LEAD00609746,1
LEAD00609745,1
LEAD00609744,1
LEAD00609743,1
LEAD00609742,1
LEAD00609741,1
LEAD00609740,1
LEAD00609739,1
LEAD00609738,1
LEAD00609734,1
LEAD00609733,1
LEAD00609732,1
LEAD00609731,1
LEAD00609730,1
LEAD00609729,1
LEAD00609728,1
LEAD00609727,1
LEAD00545125,1
LEAD00609726,1
LEAD00609725,1
LEAD00545308,1
LEAD00609724,1
LEAD00609723,1
LEAD00609722,1
LEAD00609721,1
LEAD00609720,1
LEAD00609719,1
LEAD00609717,1
LEAD00609716,1
LEAD00609715,1
LEAD00609714,1
LEAD00609713,1
LEAD00609712,1
LEAD00609711,1
LEAD00609710,1
LEAD00609709,1
LEAD00609708,1
LEAD00543800,1
LEAD00609707,1
LEAD00609706,1
LEAD00570187,4
LEAD00609705,1
LEAD00603729,2
LEAD00609704,1
LEAD00583918,4
LEAD00609703,1
LEAD00609702,1
LEAD00609701,1
LEAD00609700,1
LEAD00609699,1
LEAD00609697,1
LEAD00609698,1
LEAD00609696,1
LEAD00609695,1
LEAD00609694,1
LEAD00609693,1
LEAD00609692,1
LEAD00583919,4
LEAD00609691,1
LEAD00609607,1
LEAD00609690,1
LEAD00609689,1
LEAD00609688,1
LEAD00609686,1
LEAD00609685,1
LEAD00609683,1
LEAD00609682,1
LEAD00609681,1
LEAD00609679,1
LEAD00609678,1
LEAD00609677,1
LEAD00609676,1
LEAD00609675,1
LEAD00609674,1
LEAD00609673,1
LEAD00609672,1
LEAD00609671,1
LEAD00609670,1
LEAD00609669,1
LEAD00609668,1
LEAD00609667,1
LEAD00609666,1
LEAD00609665,1
LEAD00609664,1
LEAD00583922,4
LEAD00609661,1
LEAD00609658,1
LEAD00609657,1
LEAD00609656,1
LEAD00609655,1
LEAD00609654,1
LEAD00609653,1
LEAD00609652,1
LEAD00609651,1
LEAD00609650,1
LEAD00609649,1
LEAD00609648,1
LEAD00609647,1
LEAD00584038,4
LEAD00609646,1
LEAD00609645,1
LEAD00603733,2
LEAD00609644,1
LEAD00609643,1
LEAD00571749,1
LEAD00609642,1
LEAD00609641,1
LEAD00572295,1
LEAD00609640,1
LEAD00609639,1
LEAD00609638,1
LEAD00609637,1
LEAD00609636,1
LEAD00609635,1
LEAD00609634,1
LEAD00609633,1
LEAD00609630,1
LEAD00560448,3
LEAD00609627,1
LEAD00609626,1
LEAD00609625,1
LEAD00609624,1
LEAD00575552,3
LEAD00609623,1
LEAD00609622,1
LEAD00609621,1
LEAD00550528,1
LEAD00609617,1
LEAD00609618,1
LEAD00609614,1
LEAD00609611,1
LEAD00609608,1
LEAD00549454,4
LEAD00609606,1
LEAD00609605,1
LEAD00583962,4
LEAD00609604,1
LEAD00609601,1
LEAD00609598,1
LEAD00583952,4
LEAD00609597,1
LEAD00609596,1
LEAD00609595,1
LEAD00609594,1
LEAD00609593,1
LEAD00609592,1
LEAD00573987,2
LEAD00609591,1
LEAD00609590,1
LEAD00609589,1
LEAD00583985,4
LEAD00571776,1
LEAD00609588,1
LEAD00609587,1
LEAD00609586,1
LEAD00609585,1
LEAD00609584,1
LEAD00609582,1
LEAD00609581,1
LEAD00609580,1
LEAD00560778,3
LEAD00609579,1
LEAD00549464,4
LEAD00609578,1
LEAD00572216,1
LEAD00609576,1
LEAD00572112,1
LEAD00609575,1
LEAD00609574,1
LEAD00603565,2
LEAD00609573,1
LEAD00609572,1
